generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,51,8,38,15,0.028571428571428574,0.0642857142857143,0.3636363636363637,0.8181818181818182,43
1,97,8,55,19,0.05136436597110755,0.09309791332263243,0.372093023255814,0.6744186046511628,43
2,160,13,66,27,0.08262108262108261,0.1225071225071225,0.4,0.593103448275862,43
3,239,16,82,33,0.1125,0.15,0.4054054054054054,0.5405405405405405,43
4,337,22,65,41,0.15107102593010147,0.17812852311161217,0.42138364779874216,0.49685534591194963,43
5,424,10,101,33,0.15430861723446895,0.20440881763527055,0.38403990024937656,0.5087281795511222,43
6,535,23,133,51,0.1733102253032929,0.2253032928942808,0.3944773175542406,0.5128205128205129,43
7,691,32,145,66,0.19834710743801653,0.24643125469571753,0.4024390243902439,0.5,43
8,868,29,178,72,0.2093628088426528,0.26918075422626786,0.39077669902912626,0.5024271844660194,43
9,1075,44,222,89,0.22727272727272724,0.2793791574279379,0.39805825242718446,0.4893203883495146,43
10,1341,42,235,111,0.23738587217683801,0.308505526189332,0.3883647798742138,0.5047169811320754,43
11,1618,57,262,117,0.25333333333333335,0.31749999999999995,0.39049454078355816,0.489402697495183,43
12,1937,49,323,131,0.25468975468975474,0.33405483405483405,0.3805929919137466,0.49919137466307273,43
13,2309,79,356,161,0.2694106641721235,0.339881509198628,0.3881401617250674,0.48966756513926324,43
14,2744,82,423,178,0.2769396551724138,0.3453663793103448,0.3882175226586103,0.4841389728096676,43
