generation,num_people,num_immigrants,num_children
0,6,3,19
1,28,11,28
2,67,16,55
3,138,31,90
4,259,50,113
5,422,63,216
6,701,121,326
7,1148,182,490
8,1820,274,707
9,2801,395,1083
