generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,43,4,21,8,0.014732965009208104,0.06629834254143646,0.20512820512820512,0.923076923076923,106
1,68,4,10,10,0.02872531418312388,0.08617594254937164,0.26229508196721313,0.7868852459016393,106
2,82,2,21,5,0.03448275862068966,0.09310344827586207,0.25316455696202533,0.6835443037974683,106
3,105,5,16,11,0.04991680532445923,0.10981697171381032,0.30303030303030304,0.6666666666666667,106
4,126,4,17,7,0.061093247588424444,0.11575562700964631,0.3114754098360656,0.5901639344262295,106
5,147,3,19,7,0.06832298136645963,0.12422360248447205,0.3120567375886525,0.5673758865248227,106
6,169,5,26,9,0.08,0.1303703703703704,0.32926829268292684,0.5365853658536586,106
7,200,6,22,13,0.09388335704125178,0.1450924608819346,0.34196891191709844,0.5284974093264249,106
8,228,5,3,10,0.10689170182841069,0.15752461322081576,0.34234234234234234,0.5045045045045045,106
9,236,0,0,0,0.10689170182841069,0.15752461322081576,0.3247863247863248,0.47863247863247865,106
