generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,91,14,49,25,0.03698811096433289,0.08190224570673711,0.3544303797468355,0.7848101265822786,95
1,154,12,69,25,0.06205250596658712,0.10501193317422435,0.3687943262411348,0.624113475177305,95
2,235,17,78,34,0.09217577706323687,0.1307609860664523,0.3963133640552995,0.5622119815668203,95
3,330,17,62,39,0.11857707509881422,0.16403162055335968,0.38961038961038963,0.538961038961039,95
4,409,17,54,31,0.14219759926131118,0.1791320406278855,0.389873417721519,0.4911392405063292,95
5,480,8,72,27,0.1461736887360275,0.1994840928632846,0.3687635574837311,0.5032537960954447,95
6,560,19,67,36,0.16653322658126501,0.21297037630104085,0.3830570902394107,0.48987108655616945,95
7,646,10,61,27,0.17272727272727273,0.22727272727272727,0.3665594855305466,0.4823151125401928,95
8,717,14,37,22,0.18672501823486506,0.2304886943836616,0.3657142857142857,0.4514285714285715,95
9,768,0,3,7,0.18631732168850074,0.24017467248908295,0.34178905206942595,0.44058744993324434,95
10,771,0,0,0,0.18631732168850074,0.24017467248908295,0.3328998699609883,0.42912873862158646,95
