generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,70,11,55,22,0.04255319148936171,0.09671179883945841,0.37288135593220345,0.8474576271186441,44
1,136,11,57,28,0.07521367521367521,0.14358974358974358,0.36974789915966383,0.7058823529411764,44
2,204,14,90,29,0.10449927431059507,0.16545718432510886,0.38095238095238093,0.6031746031746031,44
3,308,22,121,45,0.1394230769230769,0.19230769230769232,0.4070175438596491,0.5614035087719299,44
4,451,28,106,61,0.17805383022774326,0.23395445134575568,0.41148325358851673,0.5406698564593302,44
5,585,29,101,53,0.20985401459854014,0.25,0.40998217468805703,0.48841354723707675,44
6,715,9,117,50,0.20294599018003273,0.29132569558101473,0.3684992570579495,0.5289747399702823,44
7,841,34,130,59,0.22799422799422797,0.2929292929292929,0.38725490196078427,0.4975490196078431,44
8,1005,29,162,65,0.23715916296766013,0.30310716550412176,0.3859649122807018,0.4932920536635707,44
9,1196,39,151,81,0.25580079230333896,0.31805319750990374,0.39168110918544197,0.487001733102253,44
10,1386,18,145,63,0.2528497409326425,0.33782383419689116,0.3674698795180723,0.49096385542168675,44
11,1549,31,131,57,0.26290630975143403,0.3365200764818356,0.36496350364963503,0.46715328467153283,44
12,1711,27,152,52,0.265962131219727,0.33201232937032144,0.361244019138756,0.45095693779904306,44
13,1890,32,170,76,0.27011726647796197,0.3404771532551557,0.361863488624052,0.45612134344528715,44
14,2092,43,208,85,0.2767988252569751,0.33994126284875187,0.3678048780487805,0.45170731707317074,44
15,2343,50,235,104,0.2838152210036557,0.3436357593885011,0.3730886850152905,0.4517256443861948,44
16,2628,46,240,118,0.28710166919575114,0.3575113808801214,0.3701095461658842,0.46087636932707354,44
17,2914,33,255,114,0.2824448785933575,0.3739882779793469,0.35797665369649806,0.4740007074637425,44
