generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,19,2,11,4,0.009324009324009324,0.03263403263403264,0.25,0.875,41
1,32,2,16,5,0.017897091722595078,0.0447427293064877,0.2857142857142857,0.7142857142857143,41
2,50,3,7,8,0.030634573304157548,0.06564551422319476,0.3111111111111111,0.6666666666666667,41
3,60,1,4,3,0.03463203463203463,0.07359307359307359,0.2807017543859649,0.5964912280701754,41
4,65,1,0,2,0.038876889848812095,0.0777537796976242,0.28125,0.5625000000000001,41
