generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,9,1,9,3,0.003169572107765452,0.012678288431061807,0.28571428571428575,1.142857142857143,99
1,19,2,16,5,0.009244992295839752,0.021571648690292756,0.375,0.875,99
2,37,3,26,8,0.017699115044247787,0.03539823008849558,0.375,0.7500000000000001,99
3,66,4,22,13,0.02840909090909091,0.05965909090909092,0.3508771929824561,0.736842105263158,99
4,92,3,11,11,0.036211699164345405,0.0807799442896936,0.30952380952380953,0.6904761904761905,99
5,106,1,6,4,0.038620689655172416,0.08827586206896552,0.27722772277227725,0.6336633663366337,99
6,113,1,14,3,0.04054054054054054,0.0918918918918919,0.2702702702702703,0.6126126126126126,99
7,128,2,24,6,0.044386422976501305,0.09921671018276762,0.2764227642276423,0.6178861788617886,99
8,154,5,39,12,0.05432098765432099,0.1111111111111111,0.29931972789115646,0.6122448979591836,99
9,198,10,36,19,0.07476635514018691,0.1261682242990654,0.3404255319148936,0.574468085106383,99
10,244,7,45,18,0.08590308370044053,0.14317180616740088,0.33476394849785407,0.5579399141630902,99
11,296,9,44,22,0.09989594172736732,0.16233090530697192,0.3404255319148936,0.5531914893617021,99
12,349,9,48,22,0.11198428290766209,0.1787819253438114,0.3392857142857143,0.5416666666666667,99
13,406,11,49,23,0.12615955473098328,0.19109461966604824,0.3460559796437659,0.5241730279898219,99
14,466,12,68,23,0.1381692573402418,0.19689119170984457,0.3532008830022075,0.5033112582781457,99
15,546,17,81,34,0.15445859872611464,0.20859872611464966,0.3667296786389414,0.4952741020793951,99
16,644,19,85,40,0.17058823529411762,0.22352941176470592,0.3729903536977492,0.4887459807073956,99
17,748,19,88,43,0.18404907975460122,0.239945466939332,0.3729281767955801,0.4861878453038674,99
18,855,28,118,44,0.20210787352758836,0.23806571605703655,0.38855780691299163,0.4576877234803337,99
19,1001,10,167,59,0.19329608938547488,0.26927374301675977,0.36344537815126055,0.5063025210084033,99
20,1178,47,183,83,0.21782178217821782,0.2742574257425742,0.38562664329535495,0.48553900087642415,99
21,1408,43,182,91,0.23429844097995545,0.28953229398663693,0.38704930095658574,0.4782928623988226,99
22,1633,28,203,91,0.23505654281098545,0.3134087237479806,0.37070063694267513,0.4942675159235669,99
23,1864,48,217,99,0.2473549799343305,0.3203210507114192,0.374585635359116,0.48508287292817687,99
24,2129,64,218,93,0.26662256037049287,0.3096261991399272,0.3867562380038388,0.4491362763915547,99
25,2411,0,276,109,0.24431645953319187,0.3498029705971507,0.3501303214596003,0.5013032145960035,99
26,2687,109,271,131,0.27833650448491437,0.32563196520793697,0.3852520692249812,0.45071482317531986,99
