generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,168,8,46,17,0.012429073223453121,0.014050256687381787,0.3194444444444445,0.36111111111111105,476
1,222,8,40,17,0.016537743398239532,0.018671645772205918,0.306930693069307,0.3465346534653465,476
2,270,7,35,15,0.020047480875758375,0.022685307306779215,0.30158730158730157,0.34126984126984133,476
3,312,6,13,13,0.023097112860892388,0.026246719160104987,0.2962962962962963,0.3367003367003367,476
4,331,2,7,5,0.02409007593610893,0.027755957056821157,0.28482972136222906,0.3281733746130031,476
5,340,1,0,2,0.024607329842931937,0.028272251308900525,0.27976190476190477,0.32142857142857145,476
