generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,38,6,25,11,0.026607538802660754,0.05764966740576497,0.36363636363636365,0.787878787878788,45
1,69,5,24,12,0.04583333333333334,0.08333333333333334,0.36065573770491804,0.6557377049180327,45
2,98,5,25,12,0.06274509803921569,0.10588235294117648,0.3516483516483516,0.5934065934065934,45
3,128,5,37,13,0.07608695652173914,0.12681159420289856,0.35,0.5833333333333334,45
4,170,9,28,18,0.10186757215619695,0.14940577249575548,0.37500000000000006,0.5499999999999999,45
5,207,5,29,14,0.11235955056179775,0.17014446227929375,0.3535353535353535,0.5353535353535354,45
6,241,5,36,14,0.12048192771084337,0.18674698795180725,0.3463203463203463,0.5367965367965368,45
7,282,7,36,18,0.13295615275813297,0.20650636492220653,0.34686346863468637,0.5387453874538746,45
8,325,6,38,16,0.1411451398135819,0.22103861517976034,0.33865814696485624,0.5303514376996805,45
9,369,8,34,17,0.15384615384615385,0.23203026481715006,0.34078212290502796,0.5139664804469274,45
10,411,8,21,13,0.16788321167883213,0.2360097323600973,0.34328358208955223,0.4825870646766169,45
11,440,3,17,6,0.171021377672209,0.23752969121140138,0.33333333333333337,0.4629629629629629,45
12,460,3,11,5,0.17523364485981308,0.23831775700934582,0.33039647577092507,0.44933920704845814,45
13,474,2,10,3,0.17741935483870966,0.23732718894009214,0.3276595744680851,0.4382978723404255,45
14,486,2,2,3,0.1811926605504587,0.2385321100917431,0.3271221532091097,0.43064182194616973,45
15,490,0,0,0,0.1811926605504587,0.2385321100917431,0.3231083844580777,0.42535787321063395,45
