generation,num_people,num_immigrants,num_children
0,16,3,18
1,37,3,32
2,72,6,42
3,120,8,69
4,197,13,100
5,310,19,149
6,478,28,162
7,668,30,214
8,912,40,272
9,1224,50,375
10,1649,70,490
11,2209,91,633
