generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,36,5,33,9,0.02028397565922921,0.05273833671399594,0.32258064516129037,0.8387096774193549,48
1,74,8,27,17,0.04924242424242424,0.08333333333333333,0.4,0.6769230769230768,48
2,109,5,22,14,0.06486486486486487,0.11171171171171172,0.36,0.62,48
3,136,4,13,11,0.07692307692307691,0.13286713286713286,0.34108527131782945,0.5891472868217054,48
4,153,2,5,5,0.08290155440414508,0.14162348877374784,0.32432432432432434,0.5540540540540541,48
5,160,0,0,1,0.08290155440414508,0.14507772020725387,0.30573248407643316,0.535031847133758,48
