generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,87,12,58,21,0.04363636363636363,0.11636363636363636,0.30769230769230765,0.8205128205128205,64
1,157,14,51,29,0.08455284552845528,0.15284552845528457,0.3661971830985915,0.6619718309859155,64
2,222,10,77,25,0.10256410256410256,0.17663817663817663,0.34951456310679613,0.6019417475728156,64
3,309,20,81,39,0.13947696139476962,0.20174346201743462,0.38620689655172413,0.5586206896551724,64
4,410,22,84,40,0.1716171617161716,0.21782178217821785,0.3989769820971867,0.5063938618925832,64
5,516,16,110,42,0.18164251207729468,0.24154589371980675,0.38367346938775504,0.5102040816326531,64
6,642,34,114,55,0.21639898562975485,0.24683009298393915,0.41223832528180354,0.4702093397745572,64
7,790,11,156,57,0.20592592592592593,0.28444444444444444,0.3736559139784946,0.5161290322580646,64
8,957,44,152,78,0.2367399741267788,0.2923673997412678,0.3965330444203684,0.48970747562296857,64
9,1153,35,175,76,0.2482915717539863,0.3041002277904328,0.3920863309352518,0.48021582733812956,64
10,1363,28,186,87,0.249746192893401,0.3309644670050762,0.3775901765157329,0.5003837298541827,64
11,1577,52,198,93,0.26846846846846845,0.33063063063063064,0.3880208333333333,0.4778645833333333,64
12,1827,36,234,95,0.26827309236947794,0.34216867469879525,0.3786848072562358,0.48299319727891166,64
13,2097,42,250,117,0.2703091301222142,0.3601725377426312,0.37190900098911966,0.4955489614243324,64
14,2389,60,203,101,0.28637110016420364,0.3559934318555008,0.37521514629948366,0.46643717728055073,64
15,2652,14,161,64,0.27950310559006214,0.36770186335403726,0.3510140405616225,0.46177847113884557,64
16,2827,41,138,51,0.2889085025007355,0.3542218299499853,0.3523501973448152,0.43200574094007893,64
17,3006,24,131,69,0.28981429375351714,0.36409679234665165,0.34785545423843295,0.43701452212090514,64
