generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,210,36,144,50,0.022915340547422024,0.043921069382558874,0.3673469387755102,0.7040816326530612,515
1,390,43,178,72,0.04698186143324412,0.058281296461492715,0.4376731301939058,0.5429362880886427,515
2,611,34,200,89,0.06283013622463164,0.08507089241034195,0.4064748201438849,0.5503597122302158,515
3,845,46,236,100,0.08197989172467131,0.10672853828306267,0.4020227560050569,0.5233881163084704,515
4,1127,59,242,118,0.10430622009569378,0.1272727272727273,0.40823970037453183,0.4981273408239701,515
5,1428,52,279,121,0.11970738195522057,0.14852582575925513,0.3973509933774835,0.4930095658572479,515
6,1759,67,299,139,0.13819971293828173,0.16690588476522455,0.3997627520759193,0.48279952550415195,515
7,2125,45,353,149,0.14483412322274883,0.19374407582938388,0.3782178217821782,0.505940594059406,515
8,2523,104,438,177,0.1670964414646725,0.20079078562833075,0.39673469387755106,0.476734693877551,515
9,3065,63,499,219,0.1721272926791033,0.23201128703558552,0.3774492952904778,0.5087658989343418,515
