generation,num_people,num_immigrants,num_children
0,16,3,25
1,44,5,29
2,78,5,42
3,125,8,64
4,197,12,81
5,290,15,140
6,445,26,147
7,618,27,180
8,825,33,260
9,1118,48,309
10,1475,57,381
11,1913,71,451
12,2435,84,607
