generation,num_people,num_immigrants,num_children
0,4,3,7
1,14,5,5
2,24,3,6
3,33,4,8
4,45,5,6
5,56,4,7
6,67,5,4
7,76,3,9
8,88,6,13
9,107,9,26
10,142,17,33
11,192,22,36
12,250,24,55
13,329,36,86
14,451,57,107
