generation,num_people,num_immigrants,num_children
0,6,3,7
1,16,4,24
2,44,13,34
3,91,19,68
4,178,38,109
5,325,61,199
6,585,111,303
7,999,169,462
8,1630,258,773
9,2661,432,1193
