generation,num_people,num_immigrants,num_children
0,5,2,6
1,13,2,9
2,24,3,12
3,39,4,36
4,79,12,52
5,143,17,78
6,238,26,169
7,433,56,295
8,784,98,513
9,1395,171,854
10,2420,284,1465
