generation,num_people,num_immigrants,num_children
0,6,6,10
1,22,10,12
2,44,12,13
3,69,13,13
4,95,13,16
5,124,16,20
6,160,19,23
7,202,22,23
8,247,22,24
9,293,23,29
10,345,28,38
11,411,37,39
12,487,38,43
13,568,42,42
14,652,41,49
15,742,48,59
16,849,57,64
17,970,62,84
18,1116,82,99
19,1297,96,113
20,1506,110,128
21,1744,125,159
22,2028,155,183
23,2366,178,178
