generation,num_people,num_immigrants,num_children
0,10,5,15
1,30,7,20
2,57,9,30
3,96,14,29
4,139,13,35
5,187,16,63
6,266,29,78
7,373,36,104
8,513,48,161
9,722,74,200
10,996,92,310
11,1398,142,390
12,1930,178,507
13,2615,232,753
