generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,73,11,33,21,0.044806517311608965,0.10590631364562117,0.34920634920634924,0.8253968253968254,53
1,117,7,11,16,0.07072691552062868,0.137524557956778,0.3364485981308411,0.6542056074766356,53
2,135,2,16,5,0.07590132827324479,0.1442125237191651,0.3053435114503817,0.5801526717557252,53
3,153,3,17,7,0.08409506398537477,0.1535648994515539,0.31081081081081086,0.5675675675675675,53
4,173,4,18,8,0.09490333919156413,0.1616871704745167,0.3214285714285714,0.5476190476190477,53
5,195,4,5,7,0.10726643598615918,0.16955017301038064,0.3263157894736842,0.5157894736842106,53
6,204,1,7,2,0.10921501706484642,0.1706484641638225,0.3168316831683169,0.49504950495049505,53
7,212,1,0,2,0.11243611584327087,0.17376490630323682,0.3157894736842105,0.48803827751196177,53
