generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,42,5,22,8,0.012106537530266344,0.03147699757869249,0.25641025641025644,0.6666666666666667,93
1,69,6,30,11,0.025522041763341066,0.04176334106728538,0.34375,0.5625,93
2,105,7,20,15,0.04049493813273341,0.05849268841394825,0.3711340206185567,0.536082474226804,93
3,132,4,13,10,0.04856512141280353,0.0706401766004415,0.3492063492063492,0.5079365079365079,93
4,149,2,9,6,0.05234460196292258,0.07851690294438386,0.33333333333333337,0.5,93
5,160,1,5,3,0.05417118093174431,0.08234019501625137,0.3205128205128205,0.4871794871794872,93
6,166,1,2,2,0.056155507559395246,0.08423326133909287,0.3170731707317074,0.47560975609756095,93
7,169,0,0,0,0.056155507559395246,0.08423326133909287,0.30952380952380953,0.4642857142857143,93
