generation,num_people,num_immigrants,num_children
0,5,2,11
1,18,5,17
2,40,7,35
3,82,15,36
4,133,16,44
5,193,19,67
6,279,29,102
7,410,45,193
8,648,85,360
9,1093,158,619
10,1870,272,1149
