generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,57,8,35,15,0.03340292275574113,0.08768267223382047,0.31999999999999995,0.84,42
1,100,7,45,17,0.05649717514124294,0.1167608286252354,0.3370786516853933,0.6966292134831461,42
2,152,11,40,22,0.08934707903780069,0.1443298969072165,0.3714285714285714,0.6,42
3,203,9,33,20,0.11217948717948717,0.16987179487179488,0.3645833333333333,0.5520833333333334,42
4,245,7,45,17,0.1242603550295858,0.18639053254437868,0.3574468085106383,0.5361702127659574,42
5,297,11,56,23,0.1426648721399731,0.2018842530282638,0.3719298245614035,0.5263157894736842,42
6,364,12,68,28,0.15795868772782504,0.221142162818955,0.37356321839080464,0.5229885057471264,42
7,444,17,102,34,0.17409766454352443,0.22929936305732485,0.3840749414519906,0.5058548009367682,42
8,563,27,76,51,0.20861244019138755,0.25263157894736843,0.4044526901669759,0.489795918367347,42
9,666,7,76,38,0.20567375886524822,0.2890070921985816,0.3653543307086614,0.5133858267716536,42
10,749,15,58,27,0.21815154038301415,0.29142381348875934,0.3608815426997245,0.48209366391184566,42
11,822,9,19,19,0.22782750203417415,0.30105777054515864,0.3491271820448878,0.4613466334164589,42
12,850,1,8,2,0.22778675282714056,0.3004846526655896,0.33531510107015455,0.4423305588585017,42
13,859,0,5,1,0.2268704746580853,0.3008849557522124,0.32982456140350874,0.4374269005847953,42
14,864,0,0,0,0.2268704746580853,0.3008849557522124,0.32752613240418116,0.43437862950058065,42
