generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,205,36,107,56,0.06122448979591837,0.11224489795918366,0.391304347826087,0.717391304347826,92
1,348,28,83,53,0.09945609945609946,0.14141414141414144,0.3975155279503106,0.5652173913043479,92
2,459,19,93,41,0.11865618298784847,0.1615439599714081,0.3807339449541285,0.518348623853211,92
3,571,25,112,47,0.140625,0.17578125,0.39344262295081966,0.4918032786885246,92
4,708,24,140,56,0.1552941176470588,0.19647058823529415,0.3905325443786982,0.4940828402366864,92
5,872,34,122,70,0.17887931034482757,0.21875,0.39712918660287083,0.48564593301435405,92
6,1028,18,119,61,0.18464626191670847,0.246864024084295,0.37360406091370557,0.49949238578680194,92
7,1165,26,101,42,0.1981132075471698,0.24716981132075475,0.3713527851458886,0.4633068081343944,92
8,1292,18,98,42,0.2039355992844365,0.2558139534883721,0.3621922160444797,0.454328832406672,92
9,1408,15,107,44,0.20610687022900764,0.26717557251908397,0.3537117903930131,0.4585152838427947,92
10,1530,31,111,49,0.21919999999999998,0.26639999999999997,0.36363636363636365,0.4419376244193762,92
11,1672,14,159,56,0.2154882154882155,0.28058361391694725,0.35337423312883437,0.460122699386503,92
12,1845,48,177,80,0.23188405797101447,0.28088336783988954,0.37065637065637064,0.44897959183673464,92
13,2070,34,181,89,0.23771281721811754,0.2968197879858657,0.3672456575682382,0.45856079404466504,92
14,2285,36,193,87,0.24296828246558946,0.30700179533213645,0.36412556053811657,0.4600896860986547,92
15,2514,44,141,80,0.25517436915225405,0.3113127303657499,0.3657049979683056,0.44616009752133273,92
16,2699,0,66,31,0.25048705816866124,0.3228499860840523,0.3424657534246575,0.441400304414003,92
17,2765,8,25,12,0.2526199669056812,0.3221180364037507,0.3343065693430657,0.42627737226277373,92
18,2798,3,3,4,0.2538546255506608,0.3221365638766519,0.3307030129124821,0.4196556671449067,92
19,2804,0,0,0,0.2538546255506608,0.3221365638766519,0.3290506780870807,0.41755888650963596,92
