generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,81,4,11,8,0.00758882373232149,0.00827871679889617,0.3188405797101449,0.34782608695652173,477
1,96,2,7,4,0.008940852819807428,0.009628610729023386,0.28888888888888886,0.31111111111111117,477
2,105,1,11,2,0.009589041095890411,0.010273972602739725,0.27450980392156865,0.2941176470588235,477
3,117,2,3,4,0.010940170940170942,0.011623931623931624,0.28070175438596495,0.2982456140350877,477
4,122,0,0,1,0.01094017094017094,0.012307692307692308,0.2644628099173554,0.2975206611570248,477
