generation,num_people,num_immigrants,num_children
0,10,5,15
1,30,7,31
2,68,14,39
3,121,18,34
4,173,16,37
5,226,17,62
6,305,28,87
7,420,40,92
8,552,42,134
9,728,61,181
10,970,83,232
11,1285,106,318
12,1709,146,426
13,2281,195,552
14,3028,253,725
