generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,58,8,16,14,0.035555555555555556,0.09333333333333334,0.3076923076923077,0.8076923076923077,63
1,82,4,36,8,0.0489795918367347,0.10204081632653061,0.3076923076923077,0.641025641025641,63
2,122,10,47,18,0.08043875685557587,0.12065813528336379,0.3859649122807018,0.5789473684210527,63
3,179,10,62,23,0.10339256865912763,0.14862681744749598,0.3878787878787879,0.5575757575757576,63
4,251,14,83,31,0.12849162011173185,0.1759776536312849,0.3931623931623932,0.5384615384615384,63
5,348,20,104,42,0.15714285714285714,0.20238095238095238,0.4049079754601227,0.5214723926380368,63
6,472,20,116,52,0.1762295081967213,0.23975409836065575,0.3909090909090909,0.5318181818181819,63
7,608,30,110,58,0.20788530465949817,0.25985663082437277,0.39999999999999997,0.5,63
8,748,24,102,55,0.22544283413848631,0.28341384863124,0.39051603905160387,0.49093444909344497,63
9,874,17,127,51,0.22655122655122656,0.30303030303030304,0.3738095238095238,0.5,63
10,1018,33,126,64,0.24595469255663432,0.3119741100323624,0.3850050658561297,0.4883485309017223,63
11,1177,22,155,52,0.24622531939605113,0.3147502903600465,0.3732394366197183,0.47711267605633806,63
12,1354,52,120,78,0.2787750791974657,0.31362196409714893,0.3975903614457831,0.44728915662650603,63
13,1526,0,91,41,0.2659949622166247,0.34055415617128465,0.36016371077762616,0.461118690313779,63
14,1617,10,64,17,0.2661486158329286,0.33511413307430793,0.3466160657811512,0.4364326375711575,63
15,1691,14,68,24,0.2690331620737973,0.33162073797290986,0.34429169157202627,0.42438732815301855,63
16,1773,16,100,34,0.26938413823659724,0.33052724856003546,0.3464387464387464,0.4250712250712251,63
17,1889,22,82,50,0.2761541719610335,0.3396865734858111,0.35034927458355725,0.430951101558302,63
18,1993,19,81,33,0.28037383177570097,0.33726127590410404,0.350076103500761,0.4211060375443937,63
19,2093,9,97,40,0.27580833657966497,0.3474873393065836,0.3435225618631732,0.43279961183891313,63
20,2199,31,128,48,0.28246515040352166,0.33969185619955977,0.35304906006419073,0.4245758826226501,63
21,2358,29,132,64,0.28680290959473503,0.34499480429511603,0.3564356435643564,0.42875591907016786,63
22,2519,16,126,66,0.2839220864971938,0.36183558930340043,0.34831915755366544,0.44390441474281084,63
23,2661,30,89,39,0.29224904701397714,0.35387547649301143,0.350076103500761,0.423896499238965,63
24,2780,6,51,27,0.29079563182527296,0.3606864274570983,0.3400218898212331,0.4217438890915724,63
25,2837,7,22,10,0.29251700680272114,0.35930735930735935,0.3356990773598297,0.41234918381831087,63
26,2866,2,1,4,0.2934816187828236,0.36021007105344455,0.33251662583129155,0.40812040602030103,63
27,2869,0,0,0,0.2934816187828236,0.36021007105344455,0.3312412831241283,0.4065550906555091,63
