generation,num_people,num_immigrants,num_children
0,9,5,15
1,29,8,15
2,52,8,13
3,73,7,14
4,94,7,15
5,116,8,24
6,148,12,28
7,188,14,33
8,235,17,37
9,289,19,36
10,344,18,45
11,407,23,51
12,481,26,75
13,582,38,83
14,703,42,100
15,845,51,138
16,1034,70,157
17,1261,80,194
