generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,19,3,10,5,0.007792207792207792,0.015584415584415586,0.375,0.7500000000000001,95
1,32,2,9,5,0.012804097311139566,0.023047375160051214,0.3448275862068966,0.6206896551724138,95
2,43,3,22,5,0.019851116625310174,0.02729528535980149,0.3902439024390244,0.5365853658536586,95
3,68,4,33,11,0.02846975088967972,0.042704626334519574,0.39344262295081966,0.5901639344262295,95
4,105,6,52,16,0.03995560488346282,0.06215316315205328,0.3829787234042553,0.5957446808510638,95
5,163,14,63,26,0.065439672801636,0.081799591002045,0.42384105960264895,0.5298013245033113,95
6,240,11,96,32,0.0792626728110599,0.11244239631336407,0.3926940639269406,0.5570776255707762,95
7,347,20,99,48,0.10465116279069767,0.1478405315614618,0.3949843260188088,0.5579937304075235,95
8,466,23,141,50,0.12573099415204678,0.16959064327485382,0.3917995444191344,0.5284738041002278,95
9,630,29,113,70,0.152317880794702,0.20794701986754965,0.391156462585034,0.5340136054421768,95
10,772,25,127,56,0.16847172081829123,0.2262334536702768,0.3783783783783784,0.5081081081081082,95
11,924,26,131,63,0.18251786695986805,0.2473886750962067,0.3747178329571106,0.5079006772009029,95
12,1081,38,133,65,0.2050251256281407,0.25326633165829143,0.38746438746438744,0.4786324786324786,95
13,1252,20,127,63,0.20963968179691156,0.2760879737950398,0.37178423236514524,0.4896265560165976,95
14,1399,19,106,41,0.21485411140583557,0.28028293545534927,0.35893648449039883,0.46824224519940916,95
15,1524,22,115,41,0.22092538557732389,0.28011671529804083,0.3549899531145345,0.45010046885465504,95
16,1661,23,122,58,0.22641509433962265,0.2916666666666667,0.3542435424354244,0.4563345633456335,95
17,1806,26,122,57,0.23328380386329867,0.2986627043090639,0.35460191981931116,0.45398080180688877,95
18,1954,28,77,47,0.244547729710404,0.30103682516982483,0.3560645497136908,0.43831337844872464,95
19,2059,1,26,10,0.2429178470254958,0.3045325779036827,0.3394359228104899,0.425531914893617,95
20,2086,3,7,4,0.24417784050811572,0.3041637261820748,0.3333333333333333,0.4152215799614644,95
21,2096,0,0,0,0.24417784050811572,0.3041637261820748,0.3307839388145315,0.41204588910133844,95
