generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,197,9,52,20,0.013804088133793468,0.01645872046721529,0.3005780346820809,0.35838150289017345,459
1,258,9,22,19,0.018430753027909426,0.02159031068983676,0.2928870292887029,0.34309623430962344,459
2,289,4,5,8,0.020488573680063044,0.02364066193853428,0.2795698924731183,0.3225806451612903,459
3,298,1,1,2,0.021002887897085848,0.024153321081648728,0.2711864406779661,0.31186440677966104,459
4,300,0,0,0,0.021002887897085848,0.024153321081648728,0.26755852842809363,0.3076923076923077,459
