CMDLINE 'C:\Users\Michael Okuda\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\python.exe' 'family_model_intergenerational_marriage_Teayoun version.py'
MEM 1.773438 1698794677.5696
MEM 12.421875 1698794677.6737
MEM 19.414062 1698794677.7857
MEM 24.207031 1698794677.8898
MEM 27.613281 1698794678.0019
MEM 29.757812 1698794678.1059
MEM 31.484375 1698794678.2100
MEM 32.652344 1698794678.3140
MEM 33.945312 1698794678.4180
MEM 35.187500 1698794678.5301
MEM 36.773438 1698794678.6342
MEM 41.523438 1698794678.7463
MEM 41.523438 1698794678.8600
MEM 43.089844 1698794678.9736
MEM 45.363281 1698794679.0858
MEM 49.480469 1698794679.1986
MEM 52.964844 1698794679.3110
MEM 57.640625 1698794679.4231
MEM 60.957031 1698794679.5272
MEM 63.484375 1698794679.6393
MEM 68.734375 1698794679.7433
MEM 71.886719 1698794679.8474
MEM 75.484375 1698794679.9594
MEM 78.167969 1698794680.0715
MEM 81.363281 1698794680.1838
MEM 85.917969 1698794680.2878
MEM 88.812500 1698794680.3924
MEM 91.320312 1698794680.4963
MEM 92.343750 1698794680.6009
MEM 93.125000 1698794680.7135
MEM 96.734375 1698794680.8260
MEM 98.050781 1698794680.9302
MEM 98.867188 1698794681.0343
MEM 99.554688 1698794681.1544
MEM 102.269531 1698794681.2585
MEM 102.441406 1698794681.3625
MEM 102.621094 1698794681.4672
MEM 102.734375 1698794681.5794
MEM 102.796875 1698794681.6899
MEM 101.660156 1698794681.7940
MEM 104.148438 1698794681.8991
MEM 110.328125 1698794682.0042
MEM 116.179688 1698794682.1168
MEM 125.242188 1698794682.2290
MEM 126.410156 1698794682.3417
MEM 146.031250 1698794682.4464
MEM 151.093750 1698794682.5507
MEM 149.546875 1698794682.6555
MEM 155.804688 1698794682.7679
MEM 178.753906 1698794682.8799
MEM 186.503906 1698794682.9841
MEM 174.707031 1698794683.0888
MEM 165.976562 1698794683.1928
MEM 174.253906 1698794683.2971
MEM 182.035156 1698794683.4011
MEM 197.167969 1698794683.5059
MEM 209.738281 1698794683.6095
MEM 214.710938 1698794683.7216
MEM 235.082031 1698794683.8256
MEM 252.226562 1698794683.9377
MEM 261.546875 1698794684.0497
MEM 218.257812 1698794684.1617
MEM 243.546875 1698794684.2745
MEM 261.859375 1698794684.3799
MEM 219.890625 1698794684.4924
MEM 226.335938 1698794684.5972
MEM 233.085938 1698794684.7105
MEM 246.460938 1698794684.8235
MEM 257.460938 1698794684.9277
MEM 272.039062 1698794685.0318
MEM 270.523438 1698794685.1438
MEM 280.562500 1698794685.2560
MEM 293.195312 1698794685.3686
MEM 305.363281 1698794685.4733
MEM 317.628906 1698794685.5774
MEM 317.628906 1698794685.6820
MEM 352.035156 1698794685.7954
MEM 352.035156 1698794685.9079
MEM 377.164062 1698794686.0202
MEM 395.847656 1698794686.1323
MEM 395.847656 1698794686.2369
MEM 398.039062 1698794686.3416
MEM 320.035156 1698794686.4549
MEM 354.359375 1698794686.5676
MEM 354.359375 1698794686.6746
MEM 372.343750 1698794686.7797
MEM 397.031250 1698794686.8919
MEM 397.031250 1698794686.9967
MEM 400.140625 1698794687.1092
MEM 328.484375 1698794687.2132
MEM 324.468750 1698794687.3258
MEM 334.652344 1698794687.4325
MEM 347.777344 1698794687.5450
MEM 360.007812 1698794687.6486
MEM 373.324219 1698794687.7527
MEM 385.617188 1698794687.8648
MEM 385.617188 1698794687.9699
MEM 389.375000 1698794688.0734
MEM 405.367188 1698794688.1776
MEM 427.597656 1698794688.2827
MEM 444.988281 1698794688.3879
MEM 462.382812 1698794688.4920
MEM 471.300781 1698794688.6043
MEM 471.300781 1698794688.7085
MEM 478.714844 1698794688.8209
MEM 494.769531 1698794688.9245
MEM 536.523438 1698794689.0286
MEM 536.523438 1698794689.1486
MEM 536.523438 1698794689.2617
MEM 603.160156 1698794689.3741
MEM 603.160156 1698794689.4786
MEM 603.160156 1698794689.5827
MEM 615.132812 1698794689.6875
MEM 681.125000 1698794689.7919
MEM 575.742188 1698794689.8961
MEM 501.367188 1698794690.0007
MEM 501.945312 1698794690.1133
MEM 501.945312 1698794690.2201
MEM 501.347656 1698794690.3241
MEM 556.042969 1698794690.4289
MEM 556.042969 1698794690.5335
MEM 556.042969 1698794690.6453
MEM 624.222656 1698794690.7498
MEM 623.285156 1698794690.8625
MEM 623.285156 1698794690.9758
MEM 623.285156 1698794691.0792
MEM 674.699219 1698794691.1928
MEM 551.753906 1698794691.3049
MEM 510.218750 1698794691.4091
MEM 530.656250 1698794691.5132
MEM 544.820312 1698794691.6256
MEM 544.820312 1698794691.7315
MEM 544.820312 1698794691.8351
MEM 556.375000 1698794691.9496
MEM 577.238281 1698794692.0617
MEM 596.453125 1698794692.1659
MEM 613.871094 1698794692.2700
MEM 634.113281 1698794692.3741
MEM 651.570312 1698794692.4781
