generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,86,17,48,25,0.04342273307790549,0.06641123882503193,0.4415584415584415,0.6753246753246752,97
1,151,10,45,24,0.06443914081145584,0.09546539379474939,0.39416058394160586,0.583941605839416,97
2,206,10,63,22,0.08122941822173436,0.11416026344676179,0.38341968911917096,0.5388601036269429,97
3,279,12,78,31,0.0979020979020979,0.14185814185814186,0.3783783783783784,0.5482625482625483,97
4,369,23,76,39,0.1309090909090909,0.15818181818181817,0.4079320113314448,0.49291784702549574,97
5,468,13,85,38,0.14190317195325544,0.18697829716193654,0.3837471783295711,0.5056433408577877,97
6,566,23,81,43,0.16589861751152074,0.20276497695852536,0.3956043956043956,0.4835164835164836,97
7,670,10,87,40,0.16869192280200143,0.23159399571122227,0.36932707355242567,0.5070422535211268,97
8,767,23,102,40,0.18503937007874016,0.23490813648293962,0.3780160857908847,0.47989276139410186,97
9,892,26,147,51,0.19681791396582204,0.2404242781378904,0.3852364475201846,0.4705882352941177,97
10,1065,29,175,74,0.20620725933719095,0.2619673855865334,0.3843137254901961,0.488235294117647,97
11,1269,51,155,87,0.23445657332700523,0.2705268153773137,0.400974025974026,0.46266233766233766,97
12,1475,0,212,78,0.21302285467874085,0.3130659767141009,0.3536148890479599,0.5196850393700786,97
13,1687,73,215,106,0.2454929037207518,0.3037974683544304,0.38694074969770254,0.4788391777509069,97
14,1975,45,277,108,0.2492318197336975,0.31341754865141686,0.38179916317991636,0.48012552301255235,97
15,2297,60,326,139,0.25641025641025644,0.3245852187028658,0.3832281334535617,0.48512173128944996,97
16,2683,75,354,163,0.2670940170940171,0.3344017094017094,0.3853564547206166,0.4824662813102119,97
