generation,num_people,num_immigrants,num_children
0,9,5,9
1,23,5,12
2,40,6,16
3,62,8,17
4,87,9,18
5,114,9,18
6,141,9,23
7,173,12,31
8,216,16,34
9,266,17,45
10,328,23,67
11,418,34,80
12,532,41,104
13,677,53,120
14,850,61,131
15,1042,67,173
16,1282,88,188
