generation,num_people,num_immigrants,num_children
0,3,3,2
1,8,2,1
2,11,1,1
3,13,1,2
4,16,2,3
5,21,3,5
6,29,5,14
7,48,13,20
8,81,19,19
9,119,18,26
10,163,25,37
11,225,35,39
12,299,37,49
13,385,47,79
14,511,75,116
15,702,111,161
