generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,20,3,12,6,0.012552301255230125,0.02928870292887029,0.35294117647058826,0.8235294117647058,104
1,35,2,10,6,0.020408163265306124,0.04489795918367347,0.3225806451612903,0.7096774193548387,104
2,47,1,10,5,0.02395209580838323,0.059880239520958084,0.27906976744186046,0.6976744186046512,104
3,58,2,16,5,0.030828516377649325,0.06936416184971098,0.2909090909090909,0.6545454545454545,104
4,76,3,9,8,0.04143126177024482,0.08662900188323917,0.30985915492957744,0.647887323943662,104
5,88,1,7,4,0.044526901669758805,0.09647495361781075,0.2857142857142857,0.6190476190476191,104
6,96,1,5,3,0.047706422018348627,0.10275229357798164,0.2795698924731183,0.6021505376344085,104
7,102,1,3,2,0.051001821493624776,0.10564663023679417,0.28,0.58,104
8,106,0,0,1,0.05100182149362477,0.10928961748633881,0.2692307692307692,0.576923076923077,104
