generation,num_people,num_immigrants,num_children
0,5,2,7
1,14,2,14
2,30,5,12
3,47,4,15
4,66,5,28
5,99,9,57
6,165,19,90
7,274,30,145
8,449,48,223
9,720,74,369
10,1163,123,612
11,1898,203,1024
