generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,243,52,167,61,0.028516588977241568,0.03783931998903208,0.4444444444444445,0.5897435897435898,498
1,462,40,178,83,0.04760672703751617,0.05795601552393274,0.44019138755980863,0.5358851674641149,498
2,680,38,223,89,0.06301502666020359,0.07901114881240913,0.4133545310015898,0.5182829888712241,498
3,941,49,238,112,0.08112395196011783,0.1024246544300929,0.40774487471526194,0.5148063781321184,498
4,1228,45,274,119,0.09467455621301775,0.12679628064243448,0.3882149046793761,0.5199306759098786,498
5,1547,85,319,137,0.12032710280373833,0.1370716510903427,0.4133779264214047,0.4709030100334448,498
6,1951,38,316,159,0.12641165755919856,0.17231329690346087,0.3794423182066703,0.5172225259704757,498
7,2305,97,346,158,0.14967132984999157,0.18001011292769256,0.39572192513368987,0.4759358288770053,498
8,2748,42,379,173,0.1529745042492918,0.20931696569090336,0.37141765380206343,0.5082155139472678,498
9,3169,111,452,190,0.17261818707532167,0.2151221627873355,0.3864077669902913,0.48155339805825237,498
