generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,56,7,35,12,0.023931623931623933,0.0717948717948718,0.27450980392156865,0.823529411764706,60
1,98,9,62,17,0.04878048780487806,0.08841463414634146,0.35955056179775285,0.6516853932584269,60
2,169,15,65,31,0.08423913043478261,0.12228260869565216,0.40522875816993464,0.5882352941176471,60
3,249,14,97,33,0.10625737898465172,0.15112160566706023,0.391304347826087,0.5565217391304348,60
4,360,23,112,48,0.1384928716904277,0.18126272912423627,0.40718562874251496,0.5329341317365269,60
5,495,26,120,56,0.16666666666666666,0.21099290780141847,0.4043010752688172,0.5118279569892474,60
6,641,26,145,60,0.18475750577367206,0.23556581986143188,0.3953871499176277,0.5041186161449753,60
7,812,33,154,73,0.20592193808882905,0.2597577388963661,0.3963730569948186,0.5,60
8,999,25,169,77,0.2119047619047619,0.2916666666666667,0.3759239704329461,0.5174234424498416,60
9,1193,44,170,84,0.23442449841605068,0.30095036958817317,0.3854166666666667,0.4947916666666667,60
10,1407,38,162,85,0.2483285577841452,0.31709646609360076,0.3823529411764706,0.488235294117647,60
11,1607,19,165,61,0.24495171202809482,0.32835820895522383,0.3611650485436893,0.48414239482200644,60
12,1791,47,175,78,0.26080000000000003,0.32399999999999995,0.3715099715099715,0.4615384615384615,60
13,2013,48,198,88,0.27239621267297887,0.3241077931536781,0.37911809427268117,0.451089711099848,60
14,2259,7,219,99,0.25639300134589504,0.36137281292059215,0.3516382095062298,0.4956160590678356,60
15,2485,64,161,82,0.2783859868626838,0.3472005004691898,0.36490364903649036,0.4551045510455104,60
16,2710,12,110,51,0.2753841518529677,0.357939138294667,0.3460810299129118,0.4498296099962135,60
17,2832,16,63,31,0.2783990582695703,0.3584461447910536,0.33870390261367705,0.4360902255639098,60
18,2911,8,30,13,0.279976717112922,0.3573923166472643,0.33321787322480084,0.4253550398337374,60
19,2949,4,19,7,0.2804278693263949,0.3567505059265684,0.3301565690946222,0.4200136147038802,60
20,2972,2,3,4,0.2811778290993072,0.3573903002309469,0.3286099865047234,0.4176788124156546,60
21,2977,0,0,0,0.2811778290993072,0.3573903002309469,0.3273949579831933,0.41613445378151265,60
