generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,21,4,25,8,0.023054755043227668,0.034582132564841495,0.4705882352941177,0.7058823529411765,49
1,50,4,29,13,0.042105263157894736,0.07894736842105263,0.3902439024390244,0.7317073170731708,49
2,83,4,36,14,0.05714285714285715,0.11904761904761905,0.3333333333333333,0.6944444444444443,49
3,123,7,48,18,0.08,0.15157894736842106,0.33928571428571425,0.6428571428571428,49
4,178,8,44,24,0.10246679316888045,0.19734345351043642,0.3333333333333333,0.6419753086419753,49
5,230,10,59,22,0.12416107382550336,0.21476510067114093,0.3394495412844037,0.5871559633027523,49
6,299,14,77,30,0.148471615720524,0.2328966521106259,0.36042402826855124,0.5653710247349824,49
7,390,19,78,39,0.17857142857142855,0.25510204081632654,0.3783783783783784,0.5405405405405406,49
8,487,17,69,39,0.19999999999999998,0.2804597701149425,0.3741935483870968,0.5247311827956989,49
9,573,13,35,33,0.21786492374727667,0.3093681917211329,0.3629764065335753,0.515426497277677,49
10,621,2,8,7,0.21982758620689655,0.31681034482758624,0.3371900826446281,0.48595041322314053,49
11,631,0,5,1,0.21864951768488744,0.31725616291532693,0.3253588516746411,0.47208931419457745,49
12,636,0,0,0,0.21864951768488744,0.31725616291532693,0.3222748815165877,0.46761453396524494,49
